GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,#country+code,#date+year+start,#date+year+end,#country+name,,,#indicator+value+num,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,BTN,2006,2006,Bhutan,,0,0.00000,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,BTN,2007,2007,Bhutan,,0,0.00000,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,BTN,2008,2008,Bhutan,,0,0.00000,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,BTN,2009,2009,Bhutan,,0,0.00000,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,BTN,2010,2010,Bhutan,,0,0.00000,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,BTN,2011,2011,Bhutan,,0,0.00000,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,BTN,2012,2012,Bhutan,,0,0.00000,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,BTN,2000,2000,Bhutan,,Not tested/reported,,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,BTN,2001,2001,Bhutan,,Not tested/reported,,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,BTN,2002,2002,Bhutan,,Not tested/reported,,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,BTN,2003,2003,Bhutan,,Not tested/reported,,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,BTN,2004,2004,Bhutan,,Not tested/reported,,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,BTN,2005,2005,Bhutan,,Not tested/reported,,,,,,
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4557,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,BTN,2013,2013,Bhutan,,Not tested/reported,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,BTN,2002,2002,Bhutan,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,BTN,2013,2013,Bhutan,,Not tested/reported,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,BTN,2000,2000,Bhutan,,Not tested/reported,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,BTN,2013,2013,Bhutan,,Not tested/reported,,,,,,
IR_PYRETHROID_PRESENCE,Pyrethroid resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4558,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,BTN,2003,2003,Bhutan,,Not tested/reported,,,,,,
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4559,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,BTN,2011,2011,Bhutan,,Not tested/reported,,,,,,
