GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,#indicator+value+num,,,,,
WSH_2,"Water, sanitation and hygiene attributable deaths ('000) in children under 5 years",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,237,236.77000,,,,,
WSH_3,"Water, sanitation and hygiene attributable deaths per 100'000 capita",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,42,42.14000,,,,,
WSH_4,"Water, sanitation and hygiene  attributable deaths per 100'000 children under 5 years",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,324,324.07000,,,,,
WSH_5,"Water, sanitation and hygiene attributable DALYs ('000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,8768,8768.47000,,,,,
WSH_6,"Water, sanitation and hygiene attributable DALYs ('000) in children under 5 years",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,8168,8167.96000,,,,,
WSH_7,"Water, sanitation and hygiene attributable DALYs per 100'000 capita",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,1384,1384.10000,,,,,
WSH_8,"Water, sanitation and hygiene  attributable DALYs per 100'000 children under 5 years",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2260,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,11180,11179.80000,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,4180,4180.00000,,,,,
UV_2,UV radiation attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,5,4.75000,,,,,
UV_4,UV radiation attributable deaths per 100'000 capita,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,0.75,0.75000,,,,,
UV_3,UV radiation attributable DALYs ('000),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,881,881.05000,,,,,
UV_5,UV radiation attributable DALYs per 100'000 capita,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2394,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,,,,139,139.07000,,,,,
WHS5_512,Population using solid fuels (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/318,PHEFN1,Multi-level,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,WB_LMI,Lower-middle-income,,BTN,Bhutan,,,,,,,,TOTL,Total,,,,,,,,36,36.00000,,,,,
WHS5_512,Population using solid fuels (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/318,PHEFN1,Multi-level,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,WB_LMI,Lower-middle-income,,BTN,Bhutan,,,,,,,,URB,Urban,,,,,,,,<5,,,,,,
WHS5_512,Population using solid fuels (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/318,PHEFN1,Multi-level,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,WB_LMI,Lower-middle-income,,BTN,Bhutan,,,,,,,,RUR,Rural,,,,,,,,56,56.00000,,,,,
TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4654,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,25 321,25321.00000,,,,,
TOTENV_3,Disability-adjusted life years (DALYs) attributable to the environment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4654,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,BTN,Bhutan,,,,,,,,,,,,,,ENVCAUSE151,Injuries,,29 127,29127.00000,,,,,
